"Relative Time (Process)","base_config_0118 - system/gpu.0.memoryAllocatedBytes","base_config_0118 - system/gpu.0.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.0.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.1.memoryAllocatedBytes","base_config_0118 - system/gpu.1.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.1.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.2.memoryAllocatedBytes","base_config_0118 - system/gpu.2.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.2.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.3.memoryAllocatedBytes","base_config_0118 - system/gpu.3.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.3.memoryAllocatedBytes__MAX"
"630.432738","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"630.43602","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"630.476371","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"630.518372","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"630.535825","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"631.231035","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
"660.434012","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"660.437044","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"660.477581","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"660.519211","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
