"Relative Time (Process)","base_config_0118 - system/gpu.process.0.gpu","base_config_0118 - system/gpu.process.0.gpu__MIN","base_config_0118 - system/gpu.process.0.gpu__MAX"
"4922.815143","100","100","100"
"4952.208739","99.6","99.6","99.6"
"4952.819708","94.8","94.8","94.8"
"4982.209957","100","100","100"
"4982.820716","100","100","100"
"5012.219832","99.93","99.93","99.93"
"5012.822967","93.33","93.33","93.33"
"5042.227915","95.6","95.6","95.6"
"5042.826027","99.93","99.93","99.93"
"5072.230898","95.6","95.6","95.6"
"5072.830188","100","100","100"
"5102.233475","99.93","99.93","99.93"
"5102.832547","99.6","99.6","99.6"
"5132.23433","100","100","100"
"5132.837273","93.33","93.33","93.33"
"5162.237241","97.4","97.4","97.4"
"5162.842697","99.8","99.8","99.8"
"5192.238738","99.8","99.8","99.8"
"5192.859328","98.87","98.87","98.87"
"5222.239768","100","100","100"
"5222.863646","99.8","99.8","99.8"
"5252.240757","99.67","99.67","99.67"
"5252.873798","93.67","93.67","93.67"
"5282.241615","99.67","99.67","99.67"
"5282.87596","99.53","99.53","99.53"
"5312.24274","100","100","100"
"5312.877199","96.93","96.93","96.93"
"5342.243576","99.93","99.93","99.93"
"5342.879394","100","100","100"
"5372.244471","99.53","99.53","99.53"
"5372.881889","99.93","99.93","99.93"
"5402.279204","100","100","100"
"5402.884143","99.87","99.87","99.87"
"5432.285103","93.53","93.53","93.53"
"5462.287385","93.2","93.2","93.2"
"5462.894766","100","100","100"
"5492.910455","88.13","88.13","88.13"
"5522.310389","84.2","84.2","84.2"
"5522.912005","99.27","99.27","99.27"
"5552.312852","89.87","89.87","89.87"
"5552.91423","99.93","99.93","99.93"
"5582.315606","99.93","99.93","99.93"
"5582.918285","100","100","100"
"5612.316593","100","100","100"
"5612.919275","100","100","100"
"5642.317582","99.93","99.93","99.93"
"5642.923586","93.33","93.33","93.33"
"5672.318416","99.33","99.33","99.33"
"5672.935709","93.33","93.33","93.33"
"5702.319511","100","100","100"
"5702.939755","86.93","86.93","86.93"
"5732.320501","100","100","100"
"5732.952304","100","100","100"
"5762.321999","100","100","100"
"5762.956463","99","99","99"
"5792.322859","100","100","100"
"5792.959561","99.73","99.73","99.73"
"5822.323856","100","100","100"
"5822.964431","95.87","95.87","95.87"
"5852.327481","99.93","99.93","99.93"
"5852.96546","99.73","99.73","99.73"
"5882.329824","86","86","86"
"5882.968965","96.13","96.13","96.13"
"5912.332911","48.8","48.8","48.8"
"5912.969928","99.73","99.73","99.73"
"5942.335063","24.8","24.8","24.8"
"5942.970933","100","100","100"
"5972.337436","97.87","97.87","97.87"
"5972.971921","93.53","93.53","93.53"
"6002.338345","100","100","100"
"6002.974092","100","100","100"
"6032.339175","100","100","100"
"6032.975262","100","100","100"
"6062.340169","99.93","99.93","99.93"
"6062.97617","100","100","100"
"6092.341013","100","100","100"
"6092.977384","100","100","100"
"6122.341935","100","100","100"
"6122.978813","99.67","99.67","99.67"
"6152.343006","99.8","99.8","99.8"
"6152.981325","99.73","99.73","99.73"
"6182.345566","99.67","99.67","99.67"
"6212.363645","99.87","99.87","99.87"
"6212.985762","100","100","100"
"6242.390586","97.47","97.47","97.47"
"6242.989658","93.33","93.33","93.33"
"6272.39792","99.6","99.6","99.6"
"6272.992356","100","100","100"
"6302.993588","100","100","100"
"6332.433112","100","100","100"
"6332.999444","100","100","100"
"6362.435847","86.67","86.67","86.67"
"6363.001536","98.13","98.13","98.13"
"6392.462712","99.8","99.8","99.8"
"6393.339338","100","100","100"
"6422.671745","90.73","90.73","90.73"
"6423.812218","86.67","86.67","86.67"
"6452.676001","99.93","99.93","99.93"
"6453.81319","99.6","99.6","99.6"
"6482.67987","86.73","86.73","86.73"
"6483.824536","100","100","100"
"6512.682136","93.93","93.93","93.93"
"6513.861512","87.13","87.13","87.13"
"6542.684717","94.4","94.4","94.4"
"6543.863931","100","100","100"
"6572.687717","97.73","97.73","97.73"
"6573.868823","99.4","99.4","99.4"
"6602.730081","94.07","94.07","94.07"
"6603.881739","100","100","100"
"6632.732312","97.27","97.27","97.27"
"6633.88265","100","100","100"
"6662.736454","99.4","99.4","99.4"
"6663.886698","100","100","100"
"6692.751451","99.13","99.13","99.13"
"6693.891091","95.07","95.07","95.07"
"6722.752746","99.73","99.73","99.73"
"6723.89211","99.93","99.93","99.93"
"6752.762796","99.67","99.67","99.67"
"6753.89418","96.47","96.47","96.47"
"6782.769455","98.67","98.67","98.67"
"6783.895171","100","100","100"
"6812.770473","99.53","99.53","99.53"
"6813.902717","95","95","95"
"6842.771573","98.33","98.33","98.33"
"6843.904506","99.2","99.2","99.2"
"6872.773311","99","99","99"
"6873.908079","89","89","89"
"6902.780544","98.67","98.67","98.67"
"6903.910093","92.93","92.93","92.93"
"6932.784407","91","91","91"
"6933.912004","100","100","100"
"6962.78702","100","100","100"
"6992.78935","99.07","99.07","99.07"
"6993.917557","93.33","93.33","93.33"
"7022.791307","100","100","100"
"7023.918487","99.67","99.67","99.67"
"7053.920369","99.93","99.93","99.93"
"7082.795833","98.33","98.33","98.33"
"7083.923415","92.47","92.47","92.47"
"7112.796918","100","100","100"
"7113.937901","86.87","86.87","86.87"
"7142.800633","99.6","99.6","99.6"
"7143.940149","97.73","97.73","97.73"
"7172.803261","100","100","100"
"7173.944761","98.2","98.2","98.2"
"7202.805322","92.27","92.27","92.27"
"7203.948436","99.53","99.53","99.53"
"7232.807324","95.47","95.47","95.47"
"7233.949836","99.93","99.93","99.93"
"7262.809356","98.73","98.73","98.73"
"7263.952006","100","100","100"
"7292.810328","99.67","99.67","99.67"
"7293.952877","86.8","86.8","86.8"
"7322.811159","100","100","100"
"7323.960599","100","100","100"
"7352.812156","99.8","99.8","99.8"
"7354.000066","100","100","100"
"7382.813049","99.6","99.6","99.6"
"7384.0112","100","100","100"
"7412.814794","100","100","100"
"7414.01558","99.93","99.93","99.93"
"7442.819336","99.4","99.4","99.4"
"7444.016467","100","100","100"
"7472.822281","94.67","94.67","94.67"
"7474.01974","100","100","100"
"7502.824636","94.07","94.07","94.07"
"7504.069954","100","100","100"
"7532.827053","99.6","99.6","99.6"
"7534.07097","100","100","100"
"7562.920931","99.87","99.87","99.87"
"7564.072297","99.93","99.93","99.93"
"7592.92425","86.87","86.87","86.87"
"7594.075855","90.2","90.2","90.2"
"7622.929323","99.4","99.4","99.4"
"7624.091051","93.27","93.27","93.27"
"7652.933077","95.27","95.27","95.27"
"7654.093141","96.47","96.47","96.47"
"7682.949313","100","100","100"
"7684.111542","98.87","98.87","98.87"
"7712.953629","100","100","100"
"7714.112526","100","100","100"
"7742.961021","99.67","99.67","99.67"
"7744.116537","93.13","93.13","93.13"
"7772.961987","100","100","100"
"7802.963021","95.47","95.47","95.47"
"7804.121725","99.93","99.93","99.93"
"7832.967009","100","100","100"
"7834.125602","97.07","97.07","97.07"
"7864.129096","100","100","100"
"7892.969342","99.67","99.67","99.67"
"7894.130193","99.4","99.4","99.4"
"7922.970592","99.87","99.87","99.87"
"7924.13108","100","100","100"
"7952.97284","93.13","93.13","93.13"
"7954.134965","99.13","99.13","99.13"
"7982.974542","99.93","99.93","99.93"
"7984.153179","99.73","99.73","99.73"
"8012.976718","99.47","99.47","99.47"
"8014.158435","48.2","48.2","48.2"
"8042.977539","99.73","99.73","99.73"
"8044.159393","46.4","46.4","46.4"
"8072.978541","99.67","99.67","99.67"
"8074.162123","79.67","79.67","79.67"
"8102.979487","100","100","100"
"8104.165295","100","100","100"
"8132.980482","99.87","99.87","99.87"
"8134.168353","100","100","100"
"8162.98183","99.6","99.6","99.6"
